city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-GRAVENDEEL,2013,15,2,stedin
'S-GRAVENDEEL,2013,25,1,stedin
'S-GRAVENDEEL,2013,35,1,stedin
'S-GRAVENDEEL,2013,55,1,stedin
'S-GRAVENDEEL,2013,85,1,stedin
'S-GRAVENDEEL,2013,95,2,stedin
'S-GRAVENDEEL,2014,5,144,stedin
'S-GRAVENDEEL,2014,15,17,stedin
'S-GRAVENDEEL,2014,25,2,stedin
'S-GRAVENDEEL,2014,35,3,stedin
'S-GRAVENDEEL,2014,45,1,stedin
'S-GRAVENDEEL,2014,55,1,stedin
'S-GRAVENDEEL,2014,85,1,stedin
'S-GRAVENDEEL,2014,95,4,stedin
'S-GRAVENDEEL,2015,5,1,stedin
'S-GRAVENDEEL,2015,15,1,stedin
'S-GRAVENDEEL,2015,25,1,stedin
'S-GRAVENDEEL,2015,55,3,stedin
'S-GRAVENDEEL,2015,65,5,stedin
'S-GRAVENDEEL,2015,75,8,stedin
'S-GRAVENDEEL,2015,85,33,stedin
'S-GRAVENDEEL,2015,95,121,stedin
'S-GRAVENDEEL,2016,5,1,stedin
'S-GRAVENDEEL,2016,25,2,stedin
'S-GRAVENDEEL,2016,45,1,stedin
'S-GRAVENDEEL,2016,55,2,stedin
'S-GRAVENDEEL,2016,65,3,stedin
'S-GRAVENDEEL,2016,75,7,stedin
'S-GRAVENDEEL,2016,85,30,stedin
'S-GRAVENDEEL,2016,95,128,stedin
'S-GRAVENDEEL,2017,5,1,stedin
'S-GRAVENDEEL,2017,25,1,stedin
'S-GRAVENDEEL,2017,35,1,stedin
'S-GRAVENDEEL,2017,55,3,stedin
'S-GRAVENDEEL,2017,65,3,stedin
'S-GRAVENDEEL,2017,75,9,stedin
'S-GRAVENDEEL,2017,85,26,stedin
'S-GRAVENDEEL,2017,95,130,stedin
'S-GRAVENDEEL,2018,5,2,stedin
'S-GRAVENDEEL,2018,25,1,stedin
