city,years,smartmeter_cut,smartmeter_cut_count,companies
'S-GRAVENDEEL,2016,85,32,stedin
'S-GRAVENDEEL,2016,95,115,stedin
'S-GRAVENDEEL,2017,5,1,stedin
'S-GRAVENDEEL,2017,25,1,stedin
'S-GRAVENDEEL,2017,35,1,stedin
'S-GRAVENDEEL,2017,55,5,stedin
'S-GRAVENDEEL,2017,65,2,stedin
'S-GRAVENDEEL,2017,75,15,stedin
'S-GRAVENDEEL,2017,85,25,stedin
'S-GRAVENDEEL,2017,95,118,stedin
'S-GRAVENDEEL,2018,5,2,stedin
'S-GRAVENDEEL,2018,25,1,stedin
'S-GRAVENDEEL,2018,35,1,stedin
'S-GRAVENDEEL,2018,55,6,stedin
'S-GRAVENDEEL,2018,65,2,stedin
'S-GRAVENDEEL,2018,75,13,stedin
'S-GRAVENDEEL,2018,85,25,stedin
'S-GRAVENDEEL,2018,95,118,stedin
'S-GRAVENDEEL,2019,55,2,stedin
'S-GRAVENDEEL,2019,65,4,stedin
'S-GRAVENDEEL,2019,75,9,stedin
'S-GRAVENDEEL,2019,85,21,stedin
'S-GRAVENDEEL,2019,95,131,stedin
'S-GRAVENHAGE,2010,5,9653,stedin
'S-GRAVENHAGE,2010,15,289,stedin
'S-GRAVENHAGE,2010,25,92,stedin
'S-GRAVENHAGE,2010,35,37,stedin
'S-GRAVENHAGE,2010,45,32,stedin
'S-GRAVENHAGE,2010,55,21,stedin
'S-GRAVENHAGE,2010,65,36,stedin
'S-GRAVENHAGE,2010,75,19,stedin
'S-GRAVENHAGE,2010,85,40,stedin
'S-GRAVENHAGE,2010,95,144,stedin
'S-GRAVENHAGE,2011,5,9661,stedin
'S-GRAVENHAGE,2011,15,299,stedin
'S-GRAVENHAGE,2011,25,94,stedin
'S-GRAVENHAGE,2011,35,38,stedin
'S-GRAVENHAGE,2011,45,34,stedin
'S-GRAVENHAGE,2011,55,23,stedin
'S-GRAVENHAGE,2011,65,37,stedin
'S-GRAVENHAGE,2011,75,20,stedin
'S-GRAVENHAGE,2011,85,43,stedin
'S-GRAVENHAGE,2011,95,149,stedin
'S-GRAVENHAGE,2012,5,9664,stedin
'S-GRAVENHAGE,2012,15,305,stedin
'S-GRAVENHAGE,2012,25,98,stedin
'S-GRAVENHAGE,2012,35,37,stedin
'S-GRAVENHAGE,2012,45,38,stedin
'S-GRAVENHAGE,2012,55,25,stedin
'S-GRAVENHAGE,2012,65,36,stedin
'S-GRAVENHAGE,2012,75,20,stedin
'S-GRAVENHAGE,2012,85,42,stedin
'S-GRAVENHAGE,2012,95,151,stedin
'S-GRAVENHAGE,2013,5,9578,stedin
'S-GRAVENHAGE,2013,15,373,stedin
'S-GRAVENHAGE,2013,25,116,stedin
'S-GRAVENHAGE,2013,35,38,stedin
'S-GRAVENHAGE,2013,45,40,stedin
'S-GRAVENHAGE,2013,55,26,stedin
'S-GRAVENHAGE,2013,65,37,stedin
'S-GRAVENHAGE,2013,75,21,stedin
'S-GRAVENHAGE,2013,85,41,stedin
'S-GRAVENHAGE,2013,95,152,stedin
'S-GRAVENHAGE,2014,5,9237,stedin
'S-GRAVENHAGE,2014,15,626,stedin
'S-GRAVENHAGE,2014,25,156,stedin
'S-GRAVENHAGE,2014,35,56,stedin
'S-GRAVENHAGE,2014,45,55,stedin
'S-GRAVENHAGE,2014,55,38,stedin
'S-GRAVENHAGE,2014,65,40,stedin
'S-GRAVENHAGE,2014,75,29,stedin
'S-GRAVENHAGE,2014,85,44,stedin
'S-GRAVENHAGE,2014,95,159,stedin
'S-GRAVENHAGE,2015,5,8406,stedin
'S-GRAVENHAGE,2015,15,1282,stedin
'S-GRAVENHAGE,2015,25,278,stedin
'S-GRAVENHAGE,2015,35,87,stedin
'S-GRAVENHAGE,2015,45,72,stedin
'S-GRAVENHAGE,2015,55,47,stedin
'S-GRAVENHAGE,2015,65,40,stedin
'S-GRAVENHAGE,2015,75,39,stedin
'S-GRAVENHAGE,2015,85,46,stedin
'S-GRAVENHAGE,2015,95,163,stedin
'S-GRAVENHAGE,2016,5,7076,stedin
'S-GRAVENHAGE,2016,15,2201,stedin
'S-GRAVENHAGE,2016,25,559,stedin
'S-GRAVENHAGE,2016,35,150,stedin
'S-GRAVENHAGE,2016,45,90,stedin
'S-GRAVENHAGE,2016,55,71,stedin
'S-GRAVENHAGE,2016,65,60,stedin
'S-GRAVENHAGE,2016,75,41,stedin
'S-GRAVENHAGE,2016,85,53,stedin
'S-GRAVENHAGE,2016,95,178,stedin
'S-GRAVENHAGE,2017,5,5282,stedin
'S-GRAVENHAGE,2017,15,3035,stedin
'S-GRAVENHAGE,2017,25,1193,stedin
'S-GRAVENHAGE,2017,35,337,stedin
'S-GRAVENHAGE,2017,45,137,stedin
'S-GRAVENHAGE,2017,55,111,stedin
'S-GRAVENHAGE,2017,65,78,stedin
'S-GRAVENHAGE,2017,75,62,stedin
'S-GRAVENHAGE,2017,85,72,stedin
'S-GRAVENHAGE,2017,95,195,stedin
'S-GRAVENHAGE,2018,5,3869,stedin
'S-GRAVENHAGE,2018,15,3035,stedin
'S-GRAVENHAGE,2018,25,1586,stedin
'S-GRAVENHAGE,2018,35,635,stedin
'S-GRAVENHAGE,2018,45,315,stedin
'S-GRAVENHAGE,2018,55,281,stedin
'S-GRAVENHAGE,2018,65,211,stedin
'S-GRAVENHAGE,2018,75,204,stedin
'S-GRAVENHAGE,2018,85,143,stedin
'S-GRAVENHAGE,2018,95,258,stedin
'S-GRAVENHAGE,2019,5,1843,stedin
'S-GRAVENHAGE,2019,15,2135,stedin
'S-GRAVENHAGE,2019,25,1587,stedin
'S-GRAVENHAGE,2019,35,934,stedin
'S-GRAVENHAGE,2019,45,574,stedin
'S-GRAVENHAGE,2019,55,679,stedin
'S-GRAVENHAGE,2019,65,660,stedin
'S-GRAVENHAGE,2019,75,724,stedin
'S-GRAVENHAGE,2019,85,533,stedin
'S-GRAVENHAGE,2019,95,497,stedin
