city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENHAGE,0.684685,150.421,0.913576,0.021606,0.894737,2015,0.842105,1
'S GRAVENMOER,1,224.569,0.308153,0.0375233,0.697001,2015,0.184074,4
'S-GRAVELAND,0.878721,274.206,0.343983,0.0146192,0.589711,2015,0.0690088,5
'S-GRAVENDEEL,0.958576,180.198,0.904236,0.0412963,0.800194,2015,0.912357,1
'S-GRAVENHAGE,0.967944,155.112,0.662846,0.0146045,0.822346,2015,0.0877571,5
'S-GRAVENZANDE,0.869565,451.1,0.5652,0,0.55,2015,0,5
'S-HEERENBERG,0.91587,250.033,0.448925,0.0402377,0.686768,2015,0.105852,4
'S-HEERENBROEK,1,242.152,0.405193,0.0521911,0.544118,2015,0.0931373,5
'S-HERTOGENBOSCH,1,182.942,0.2534,0.0166584,0.796478,2015,0.2257,3
'T GOY,0.949664,428.77,0.81302,0.0414155,0.681979,2015,0.04947,5
'T HAANTJE,1,182.739,0.386434,0.116703,0.568182,2015,0.0795455,5
'T HARDE,0.922317,230.541,0.431672,0.0340082,0.735501,2015,0.0738825,5
'T LOO OLDEBROEK,0.885947,240.883,0.390062,0.0851382,0.57931,2015,0.0689655,5
'T VELD,0.912338,280.235,0.611919,0.0861449,0.708185,2015,0.054567,5
'T WAAR,1,213.574,0.382696,0.140804,0.518519,2015,0.148148,4
'T ZAND NH,0.887122,303.26,0.528976,0.0864134,0.657706,2015,0.113799,4
'T ZANDT GN,1,222.37,0.326121,0.0445971,0.474627,2015,0.0716418,5
1E EXLOERMOND,1,337.414,0.404587,0.110948,0.507143,2015,0.0928571,5
2E EXLOERMOND,1,247.47,0.360419,0.0649446,0.529963,2015,0.0983146,5
2E VALTHERMOND,1,488.5,0.437289,0.105132,0.583333,2015,0.125,4
AADORP,1,216.253,0.42274,0.0384385,0.611599,2015,0.203866,3
AALDEN,1,180.611,0.354994,0.0703895,0.530559,2015,0.0910273,5
AALSMEER,0.90489,255.079,0.431034,0.0441119,0.695097,2015,0.0640449,5
AALSMEERDERBRUG,0.874539,308.059,0.473449,0.0354394,0.696203,2015,0.0759494,5
AALST GLD,0.916571,295.196,0.5347,0.0394874,0.667082,2015,0.0872818,5
AALSUM,0.888889,340.646,0.719263,0.250881,0.520833,2015,0.0625,5
AALTEN,0.898455,285.614,0.466724,0.0829356,0.656138,2015,0.0802346,5
AALZUM,0.909091,486.75,0.6364,0.0909,0.55,2015,0.1,5
AARLANDERVEEN,0.890701,315.562,0.819581,0.0209685,0.652015,2015,0.148352,4
AARLE-RIXTEL,1,242.817,0.292287,0.0490681,0.665006,2015,0.121212,4
AARTSWOUD,0.898182,203.219,0.520366,0.0785226,0.659919,2015,0.0607287,5
ABBEGA,0.878261,401.099,0.691789,0.146451,0.60396,2015,0.0594059,5
ABBEKERK,0.927856,202.22,0.509405,0.0822473,0.612311,2015,0.049676,5
ABBENBROEK,0.985413,204.581,0.950996,0.0594308,0.707237,2015,0.136513,4
ABBENES,0.915493,332.519,0.555706,0.0332521,0.663462,2015,0.0480769,5
ABCOUDE,0.971062,295.406,0.808897,0.0421219,0.674347,2015,0.0890937,5
ACHLUM,0.943144,184.876,0.575772,0.0734309,0.539007,2015,0.106383,4
ACHTERVELD,0.966695,279.073,0.868013,0.055306,0.613958,2015,0.124558,4
ACHTHUIZEN,0.968174,175.74,0.863019,0.0461134,0.704152,2015,0.0692042,5
ACHTMAAL,1,346.808,0.385048,0.0430297,0.69888,2015,0.137255,4
ACQUOY,0.850694,359.078,0.729877,0.0886515,0.542857,2015,0.044898,5
ADORP,1,199.442,0.32946,0.0945773,0.528986,2015,0.0833333,5
ADUARD,1,219.572,0.344623,0.0661937,0.518634,2015,0.0848861,5
AERDENHOUT,0.91178,382.853,0.665084,0.0393596,0.718121,2015,0.0464206,5
AERDT,0.926366,250.582,0.592093,0.0245174,0.623077,2015,0.0384615,5
AFFERDEN GLD,0.898148,273.932,0.408209,0.0509151,0.628866,2015,0.0589102,5
AFFERDEN LB,1,265.271,0.498242,0.0434708,0.569367,2015,0.147614,4
AGELO,1,338.397,0.438859,0.0429689,0.724138,2015,0.155172,4
AKERSLOOT,0.91749,217.109,0.404981,0.0448696,0.652459,2015,0.0384075,5
