city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,233.152,0.31347,0.0281015,0.698545,2014,0.149688,4
'S-GRAVELAND,0.880531,279.536,0.336015,0.00915455,0.59799,2014,0.0389447,5
'S-GRAVENDEEL,0.976174,187.698,0.930522,0.0187263,0.804012,2014,0.0850652,5
'S-GRAVENHAGE,0.96954,159.754,0.658834,0.0112619,0.823644,2014,0.0713014,5
'S-GRAVENZANDE,0.869565,366.4,0.5652,0,0.55,2014,0,5
'S-HEERENBERG,0.915785,276.047,0.474076,0.0325953,0.686103,2014,0.0863088,5
'S-HEERENBROEK,1,237.907,0.398438,0.0250987,0.546341,2014,0.0780488,5
'S-HERTOGENBOSCH,1,188.506,0.234847,0.011359,0.798227,2014,0.155585,4
'T GOY,0.949495,412.032,0.8079,0.0427818,0.673759,2014,0.035461,5
'T HAANTJE,1,209.5,0.400452,0.109382,0.568182,2014,0.0795455,5
'T HARDE,0.925901,236.435,0.425568,0.0267534,0.735828,2014,0.0581697,5
'T LOO OLDEBROEK,0.883576,254.221,0.380965,0.0573601,0.585882,2014,0.0305882,5
'T VELD,0.922992,283.584,0.599422,0.0606249,0.706794,2014,0.0309893,5
'T WAAR,1,227.741,0.380424,0.110781,0.518519,2014,0.12963,4
'T ZAND NH,0.8936,321.652,0.525452,0.0613883,0.661594,2014,0.0886303,5
'T ZANDT GN,1,225.206,0.314735,0.0329088,0.464706,2014,0.0470588,5
1E EXLOERMOND,1,350.454,0.391177,0.0885559,0.510638,2014,0.0496454,5
2E EXLOERMOND,1,265.849,0.36128,0.0548979,0.530345,2014,0.0644258,5
2E VALTHERMOND,1,533.917,0.433564,0.0524239,0.583333,2014,0.104167,4
AADORP,1,226.982,0.423581,0.0250929,0.629174,2014,0.163445,4
AALDEN,1,190.923,0.34785,0.0441737,0.533333,2014,0.0666667,5
AALSMEER,0.906311,267.216,0.429483,0.0358721,0.677947,2014,0.0328122,5
AALSMEERDERBRUG,0.828025,310.304,0.447594,0.028405,0.676923,2014,0.05,5
AALST GLD,0.914648,329.536,0.532936,0.0318045,0.672131,2014,0.0592686,5
AALSUM,0.888889,359.979,0.679773,0.250211,0.520833,2014,0.0208333,5
AALTEN,0.899303,293.616,0.458872,0.0651602,0.658872,2014,0.0575895,5
AALZUM,0.909091,392.7,0.5909,0.0909,0.55,2014,0.05,5
AARLANDERVEEN,0.891626,317.61,0.812937,0.019155,0.646409,2014,0.0847145,5
AARLE-RIXTEL,1,254.428,0.298196,0.0347055,0.661685,2014,0.0875882,5
AARTSWOUD,0.912088,218.02,0.521467,0.0648025,0.662651,2014,0.0361446,5
ABBEGA,0.893805,422.455,0.672666,0.127452,0.60396,2014,0.049505,5
ABBEKERK,0.927928,206.754,0.501068,0.0742189,0.618123,2014,0.0323625,5
ABBENBROEK,0.988655,223.851,0.959268,0.030649,0.708197,2014,0.0852459,5
ABBENES,0.924028,351.663,0.574352,0.0352511,0.66348,2014,0.0286807,5
ABCOUDE,0.975741,305.982,0.809697,0.0301261,0.674954,2014,0.062922,5
ACHLUM,0.949833,191.004,0.561443,0.0518909,0.545775,2014,0.0316901,5
ACHTERVELD,0.968295,287.076,0.86421,0.0449626,0.611504,2014,0.0964602,5
ACHTHUIZEN,0.970588,184.332,0.858636,0.028964,0.707665,2014,0.0213904,5
ACHTMAAL,1,368.479,0.384623,0.0292807,0.695775,2014,0.111268,4
ACQUOY,0.853659,358.947,0.718844,0.066723,0.538776,2014,0.0204082,5
