city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,273.289,0.338419,0,0.675214,2010,0,5
'S-GRAVELAND,0.890536,290.711,0.331465,0,0.891165,2010,0,5
'S-GRAVENDEEL,0.990714,191.894,0.934453,0.00362262,0.805377,2010,0.0335471,5
'S-GRAVENHAGE,0.975249,161.488,0.652671,0.00714468,0.825352,2010,0.0501753,5
'S-HEERENBERG,0.958312,274.133,0.326561,0.00203675,0.907322,2010,0.000540394,5
'S-HEERENBROEK,1,231.126,0.396076,0,0.671717,2010,0.00505051,5
'S-HERTOGENBOSCH,1,200.135,0.391039,0.000231883,0.683891,2010,2.06945e-05,5
'T GOY,0.969799,372.962,0.832497,0.0156264,0.678201,2010,0.0103806,5
'T HAANTJE,1,207.512,0.384758,0,0.697674,2010,0,5
'T HARDE,0.958396,248.102,0.318099,0.00141887,0.922566,2010,0.000391083,5
'T LOO OLDEBROEK,0.930693,258.013,0.324612,0,0.870213,2010,0.00425532,5
'T VELD,0.96712,295.686,0.567724,0.00124081,0.947245,2010,0.00117233,5
'T WAAR,1,233.846,0.368992,0,0.673077,2010,0,5
'T ZAND NH,0.948998,358.312,0.492774,0.000894911,0.896353,2010,0,5
'T ZANDT GN,1,223.949,0.311961,0,0.691781,2010,0.00342466,5
1E EXLOERMOND,1,375.336,0.42692,0.00978267,0.614286,2010,0,5
2E EXLOERMOND,1,280.903,0.340265,0,0.673362,2010,0,5
2E VALTHERMOND,1,338.81,0.415948,0,0.62069,2010,0,5
AADORP,1,239.763,0.408824,0,0.678068,2010,0,5
AALDEN,1,181.823,0.317901,0,0.692847,2010,0,5
AALSMEER,0.938517,275.303,0.425515,0.00153388,0.905108,2010,0,5
AALSMEERDERBRUG,0.911032,320.102,0.452821,0.00271459,0.90625,2010,0,5
AALST GLD,0.947308,324.33,0.457448,0,0.911729,2010,0.00120919,5
AALSUM,0.981132,325.788,0.552511,0.053573,0.692308,2010,0,5
AALTEN,0.945123,290.093,0.362694,0.000539876,0.890651,2010,0,5
AALZUM,0.952381,449,0.4762,0,0.85,2010,0,5
AARLANDERVEEN,0.930556,339.7,0.786154,0,0.891791,2010,0.00373134,5
AARLE-RIXTEL,1,268.899,0.41929,0,0.664041,2010,0,5
AARTSWOUD,0.956044,218.398,0.459595,0.00689177,0.954023,2010,0,5
ABBEGA,0.957627,344.805,0.491683,0,0.79646,2010,0,5
