city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,245.377,0.363518,0,0.699677,2012,0.0904198,5
'S-GRAVELAND,0.872222,272.335,0.261926,0,0.6,2012,0,5
'S-GRAVENDEEL,0.990144,188.534,0.933359,0.00375671,0.803836,2012,0.0366594,5
'S-GRAVENHAGE,0.974548,161.627,0.655185,0.00706129,0.824886,2012,0.0534796,5
'S-HEERENBERG,0.947118,266.249,0.421389,0.00513636,0.689071,2012,0.000529241,5
'S-HEERENBROEK,1,245.58,0.398174,0,0.55,2012,0.01,5
'S-HERTOGENBOSCH,1,196.3,0.426242,0.000828339,0.805412,2012,0.0466659,5
'T GOY,0.97,368.663,0.829164,0.0157,0.676976,2012,0.0103093,5
'T HAANTJE,1,212.247,0.373197,0.030883,0.576471,2012,0.0235294,5
'T HARDE,0.946704,244.759,0.392628,0.00208593,0.726667,2012,0.0318519,5
'T LOO OLDEBROEK,0.922414,261.981,0.363957,0.00150219,0.577103,2012,0.0046729,5
'T VELD,0.96267,296.324,0.60369,0.00238974,0.702703,2012,0.00117509,5
'T WAAR,1,227.118,0.332487,0,0.45098,2012,0.0196078,5
'T ZAND NH,0.927524,348.715,0.501573,0.00195335,0.650233,2012,0,5
'T ZANDT GN,1,240.468,0.295603,0.00246722,0.467797,2012,0.00677966,5
1E EXLOERMOND,1,378.179,0.414593,0.0227729,0.5,2012,0,5
2E EXLOERMOND,1,270.846,0.345612,0.00510671,0.533663,2012,0.00792079,5
2E VALTHERMOND,1,527.196,0.426584,0,0.565217,2012,0,5
AADORP,1,251.159,0.40703,0,0.618042,2012,0.119002,4
AALDEN,1,184.52,0.310784,0,0.53504,2012,0.00269542,5
AALSMEER,0.932313,276.999,0.423588,0.00250027,0.671255,2012,0,5
AALSMEERDERBRUG,0.90493,305.65,0.447219,0.00298083,0.684825,2012,0,5
AALST GLD,0.944507,324.408,0.533341,0,0.68705,2012,0.00119904,5
AALSUM,0.945455,339.327,0.708484,0.0944498,0.461538,2012,0,5
AALTEN,0.935605,293.859,0.413946,0.00401802,0.66943,2012,0.000627983,5
AALZUM,0.909091,412.25,0.5909,0.0455,0.55,2012,0,5
AARLANDERVEEN,0.911519,321.027,0.796601,0.0011821,0.626374,2012,0.00732601,5
AARLE-RIXTEL,1,269.41,0.429166,0,0.656678,2012,0.020976,5
AARTSWOUD,0.952555,209.387,0.505652,0.0070874,0.678161,2012,0.00383142,5
ABBEGA,0.957983,350.544,0.618615,0,0.596491,2012,0,5
ABBEKERK,0.958,209.658,0.481922,0.00733535,0.633612,2012,0,5
ABBENBROEK,0.989028,221.466,0.935149,0.00955372,0.717908,2012,0.0190174,5
ABBENES,0.95,365.074,0.554713,0.00118152,0.662432,2012,0,5
ABCOUDE,0.974591,302.98,0.792311,0.00675112,0.678454,2012,0.0398562,5
ACHLUM,0.980456,184.219,0.544696,0.00198319,0.54485,2012,0.0598007,5
ACHTERVELD,0.950337,317.205,0.841157,0.00507698,0.606732,2012,0.00708592,5
ACHTHUIZEN,0.978114,207.365,0.849968,0.00781419,0.710843,2012,0.00860585,5
ACHTMAAL,1,387.218,0.443161,0.00128468,0.696884,2012,0.01983,5
ACQUOY,0.876325,363.105,0.711825,0,0.524194,2012,0,5
ADORP,1,205.485,0.313804,0.00405386,0.533835,2012,0.0037594,5
ADUARD,1,230.253,0.321048,0.00637505,0.535375,2012,0.0063358,5
AERDENHOUT,0.944926,394.815,0.664284,0.00607349,0.705343,2012,0,5
AERDT,0.954106,263.653,0.57621,0.00156501,0.597468,2012,0,5
AFFERDEN GLD,0.921303,262.38,0.394783,0.00428923,0.60972,2012,0,5
AFFERDEN LB,1,289.108,0.492056,0.00177296,0.574822,2012,0.02019,5
AGELO,1,361.018,0.449854,0.0088595,0.752294,2012,0,5
AKERSLOOT,0.945599,239.319,0.397125,0.00337014,0.654818,2012,0.000467727,5
AKKRUM,0.948805,236.395,0.353561,0.00488374,0.630096,2012,0,5
AKMARIJP,0.909091,356.86,0.525221,0,0.4,2012,0,5
ALBERGEN,1,357.285,0.428759,0.000508715,0.693309,2012,0.00464684,5
ALBLASSERDAM,0.984141,157.188,0.944917,0.00413611,0.801143,2012,0.0514286,5
ALDE LEIE,0.928,337.931,0.397456,0,0.560345,2012,0,5
ALDEBOARN,0.884444,208.59,0.452898,0.00911117,0.59464,2012,0,5
ALDTSJERK,0.972973,245.861,0.30053,0.0121254,0.611111,2012,0,5
ALEM,0.894545,274.077,0.50761,0,0.52439,2012,0,5
ALKMAAR,0.947898,194.714,0.291138,0.00269422,0.75749,2012,0.0065345,5
ALLINGAWIER,0.828571,555.414,0.816781,0.046014,0.517241,2012,0,5
ALMELO,1,942.71,0.204513,0,0.463768,2012,0.0289855,5
ALMEN,0.904895,278.697,0.47519,0.00890532,0.612056,2012,0.0015456,5
ALMERE,0.958664,230.559,0.31697,0.00369982,0.835255,2012,0.0203891,5
ALMKERK,1,292.414,0.421532,0.00393278,0.642466,2012,0.0219178,5
ALPHEN AAN DEN RIJN,0.962955,198.979,0.86977,0.00167641,0.731236,2012,0.368878,3
ALPHEN AD RIJN,0.916667,218.591,1,0,0.545455,2012,0.863636,1
ALPHEN GLD,0.948878,361.763,0.538672,0.0055808,0.612352,2012,0,5
