city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,264.748,0.352349,0,0.67506,2011,0.00479616,5
'S-GRAVELAND,0.883087,283.522,0.352249,0,0.616967,2011,0,5
'S-GRAVENDEEL,0.990319,189.528,0.932995,0.00376167,0.803275,2011,0.0366569,5
'S-GRAVENHAGE,0.974975,161.234,0.654244,0.00710078,0.825353,2011,0.052849,5
'S-HEERENBERG,0.949684,262.977,0.428841,0.00289676,0.6877,2011,0.000532481,5
'S-HEERENBROEK,1,232.722,0.410367,0,0.550505,2011,0.00505051,5
'S-HERTOGENBOSCH,1,198.12,0.399742,0.000432155,0.807974,2011,0.00048157,5
'T GOY,0.96831,380.844,0.833861,0.0160821,0.690909,2011,0.0109091,5
'T HAANTJE,1,201.644,0.388089,0,0.586207,2011,0,5
'T HARDE,0.950551,247.613,0.396031,0.00217533,0.731287,2011,0.0295659,5
'T LOO OLDEBROEK,0.926407,272.535,0.3661,0,0.584112,2011,0.0046729,5
'T VELD,0.96376,295.148,0.605241,0.00232561,0.705053,2011,0.00117509,5
'T WAAR,1,230.154,0.351886,0,0.480769,2011,0,5
'T ZAND NH,0.946572,352.407,0.524621,0.00210256,0.657573,2011,0,5
'T ZANDT GN,1,223.827,0.284199,0,0.472789,2011,0.00340136,5
1E EXLOERMOND,1,376,0.408977,0.00896752,0.5,2011,0,5
2E EXLOERMOND,1,277.688,0.344136,0.000691653,0.528415,2011,0.000997009,5
2E VALTHERMOND,1,352.31,0.422422,0,0.586207,2011,0,5
AADORP,1,244.503,0.404116,0,0.651663,2011,0,5
AALDEN,1,183.762,0.323981,0,0.523077,2011,0,5
AALSMEER,0.935565,277.011,0.437105,0.00187774,0.703887,2011,0,5
AALSMEERDERBRUG,0.904255,310.886,0.424068,0.00305136,0.705882,2011,0,5
AALST GLD,0.95,321.969,0.53863,0,0.69378,2011,0.00119617,5
AALSUM,0.981132,314.135,0.68345,0.0568949,0.461538,2011,0,5
AALTEN,0.93673,291.116,0.413324,0.00230417,0.676954,2011,0.000379459,5
AALZUM,0.909091,437.85,0.5909,0.0455,0.55,2011,0,5
AARLANDERVEEN,0.914237,321.469,0.796245,0.00148348,0.636023,2011,0.00375235,5
AARLE-RIXTEL,1,277.78,0.432408,0,0.665461,2011,0,5
AARTSWOUD,0.952381,214.631,0.507455,0.00711283,0.676923,2011,0,5
ABBEGA,0.957627,361.239,0.616313,0,0.584071,2011,0,5
ABBEKERK,0.956871,209.195,0.486399,0.00668603,0.654088,2011,0,5
ABBENBROEK,0.989011,220.403,0.93496,0.00961502,0.719048,2011,0.0190476,5
ABBENES,0.94614,369.617,0.589468,0,0.654649,2011,0,5
ABCOUDE,0.976567,302.687,0.793733,0.00622938,0.678764,2011,0.040192,5
ACHLUM,0.980392,178.977,0.551688,0.0019849,0.573333,2011,0.06,5
ACHTERVELD,0.949239,317.36,0.842167,0.00502906,0.609626,2011,0.00713012,5
ACHTHUIZEN,0.979695,210.074,0.848234,0.00774005,0.711572,2011,0.00863558,5
ACHTMAAL,1,385.176,0.431439,0,0.693759,2011,0,5
ACQUOY,0.871429,383.09,0.713016,0,0.532787,2011,0,5
ADORP,1,200.966,0.294208,0.00314739,0.537594,2011,0,5
ADUARD,1,229.417,0.325831,0.00550206,0.54267,2011,0.00109409,5
AERDENHOUT,0.947505,387.592,0.684422,0.00565625,0.710916,2011,0,5
AERDT,0.977273,248.106,0.558105,0.00161654,0.609819,2011,0,5
AFFERDEN GLD,0.939142,258.807,0.409536,0.00201386,0.614138,2011,0,5
AFFERDEN LB,1,300.6,0.49067,0,0.568345,2011,0.00359712,5
AGELO,1,459.846,0.43,0,0.846154,2011,0,5
AKERSLOOT,0.948775,243.93,0.408044,0.00280585,0.659155,2011,0,5
AKKRUM,0.946887,234.279,0.356937,0.00512294,0.645356,2011,0,5
AKMARIJP,0.909091,375.36,0.524888,0,0.4,2011,0,5
ALBERGEN,1,357.181,0.433902,0,0.696911,2011,0,5
ALBLASSERDAM,0.986686,156.699,0.944187,0.00418682,0.805328,2011,0.0518971,5
ALDE LEIE,0.928,322.009,0.365759,0,0.551724,2011,0,5
ALDEBOARN,0.864382,219.764,0.452518,0.00505606,0.586207,2011,0,5
ALDTSJERK,0.969512,261.28,0.340633,0.0139383,0.581761,2011,0,5
ALEM,0.908759,275.265,0.497833,0,0.534137,2011,0,5
ALKMAAR,0.952774,199.336,0.2938,0.00148686,0.760005,2011,0.00038284,5
ALLINGAWIER,0.828571,539.241,0.814752,0.0457443,0.551724,2011,0,5
ALMELO,1,850.797,0.224267,0,0.463768,2011,0,5
ALMEN,0.91763,274.14,0.507585,0.00443396,0.634646,2011,0,5
ALMERE,0.961245,231.823,0.324343,0.00284758,0.844266,2011,0.0149758,5
ALMKERK,1,275.267,0.415225,0.00068801,0.643694,2011,0.00275672,5
ALPHEN AAN DEN RIJN,0.964599,196.635,0.866276,0.00129657,0.762521,2011,0.367938,3
ALPHEN AD RIJN,0.916667,202.409,1,0,0.727273,2011,0.863636,1
ALPHEN GLD,0.944654,373.328,0.551701,0.000415861,0.617843,2011,0,5
ALPHEN NB,1,374.522,0.488323,0,0.65371,2011,0,5
ALTEVEER GEM DE WOLDEN,1,262.738,0.421554,0.00171937,0.681208,2011,0,5
ALTEVEER GEM NOORDENVELD,1,313.186,0.370845,0,0.465116,2011,0,5
ALTEVEER GN,1,234.625,0.357506,0.00204774,0.579737,2011,0,5
ALTFORST,0.917695,399.332,0.547246,0,0.591928,2011,0,5
AMBT DELDEN,1,394.956,0.458382,0.00738409,0.644809,2011,0,5
AMEIDE,0.984928,219.621,0.925553,0.00192108,0.723795,2011,0.0328998,5
AMEN,1,427.694,0.435933,0,0.833333,2011,0,5
AMERICA,1,346.353,0.519008,0,0.621723,2011,0.00499376,5
AMERONGEN,0.983058,253.532,0.82139,0.00413437,0.574191,2011,0.0235393,5
AMERSFOORT,0.986795,178.663,0.817045,0.0103506,0.750354,2011,0.0622181,5
AMMERSTOL,0.988848,207.559,0.924148,0.00895263,0.674185,2011,0.0363409,5
AMMERZODEN,0.964241,366.891,0.564454,0.00045855,0.654522,2011,0,5
AMSTELHOEK,0.97561,241.652,0.867662,0.001158,0.608333,2011,0.00416667,5
AMSTELVEEN,0.955575,189.031,0.309924,0.000908966,0.736899,2011,4.88854e-05,5
AMSTENRADE,1,252.743,0.465035,0.0010444,0.57193,2011,0.00526316,5
