city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENHAGE,0.684211,264.5,0.832124,0.00798495,0.884615,2016,0.776923,1
'S GRAVENMOER,1,223.666,0.318416,0.046491,0.695248,2016,0.202479,3
'S-GRAVELAND,0.871991,275.476,0.390973,0.0199188,0.542033,2016,0.158093,4
'S-GRAVENDEEL,0.954965,171.987,0.972145,0.0459639,0.794921,2016,0.917533,1
'S-GRAVENHAGE,0.960604,153.152,0.668841,0.017267,0.82067,2016,0.11506,4
'S-GRAVENZANDE,0.869565,426.15,0.5652,0.0435,0.55,2016,0,5
'S-HEERENBERG,0.913084,243.856,0.475548,0.051591,0.677468,2016,0.131139,4
'S-HEERENBROEK,1,226.618,0.391224,0.0778998,0.534314,2016,0.107843,4
'S-HERTOGENBOSCH,1,177.915,0.268828,0.0216834,0.793718,2016,0.26206,3
'SâGRAVENHAGE,0.952381,126.9,0.381,0,0.7,2016,0,5
'T GOY,0.95302,407.697,0.882097,0.0719221,0.679577,2016,0.471831,2
'T HAANTJE,1,174.352,0.407561,0.172059,0.590909,2016,0.136364,4
'T HARDE,0.91825,227.556,0.439095,0.047365,0.728851,2016,0.0905061,5
'T LOO OLDEBROEK,0.879032,230.991,0.407354,0.0993948,0.580275,2016,0.0825688,5
'T VELD,0.906952,271.914,0.624006,0.103756,0.696934,2016,0.067217,5
'T WAAR,1,218.962,0.385556,0.210269,0.538462,2016,0.134615,4
'T ZAND NH,0.880821,302.786,0.548112,0.0933483,0.649642,2016,0.132616,4
'T ZANDT GN,1,198.647,0.339463,0.245592,0.458824,2016,0.179412,4
1E EXLOERMOND,1,306.923,0.436076,0.112508,0.503497,2016,0.167832,4
2E EXLOERMOND,1,240.951,0.368058,0.0844181,0.532957,2016,0.142185,4
2E VALTHERMOND,1,458.347,0.451519,0.155099,0.530612,2016,0.204082,3
AADORP,1,210.714,0.419224,0.0547336,0.61324,2016,0.240418,3
AALDEN,1,181.018,0.360258,0.0825491,0.526589,2016,0.107652,4
AALSMEER,0.90022,249.433,0.456942,0.0531953,0.691955,2016,0.0953401,5
AALSMEERDERBRUG,0.863469,313.154,0.502319,0.0448899,0.692308,2016,0.111111,4
AALST GLD,0.920455,291.888,0.546558,0.0510346,0.645679,2016,0.116049,4
AALSUM,0.888889,330.354,0.742427,0.250278,0.5,2016,0.125,4
AALTEN,0.896889,277.088,0.489746,0.0971995,0.63849,2016,0.112041,4
AALZUM,0.909091,440.8,0.6364,0.1364,0.55,2016,0.1,5
AARLANDERVEEN,0.886548,301.152,0.852286,0.0442048,0.638026,2016,0.210238,3
AARLE-RIXTEL,1,239.387,0.296954,0.0606662,0.664455,2016,0.137702,4
AARTSWOUD,0.898917,202.622,0.539944,0.0952824,0.654618,2016,0.0963855,5
ABBEGA,0.886957,403.304,0.709599,0.166003,0.617647,2016,0.0980392,5
ABBEKERK,0.926854,198.592,0.533163,0.0953704,0.597838,2016,0.0724324,5
ABBENBROEK,0.975845,204.523,0.952912,0.0744167,0.707921,2016,0.166667,4
ABBENES,0.915493,337.954,0.584451,0.0946115,0.65,2016,0.0884615,5
ABCOUDE,0.953271,291.484,0.814201,0.0513742,0.676164,2016,0.103554,4
ACHLUM,0.933555,180.673,0.59235,0.0814331,0.516014,2016,0.145907,4
ACHTERVELD,0.935929,282.943,0.870178,0.0670139,0.618718,2016,0.154246,4
ACHTHUIZEN,0.963211,177.394,0.87575,0.0485187,0.704861,2016,0.118056,4
ACHTMAAL,1,335.714,0.396283,0.0565133,0.691475,2016,0.192152,4
ACQUOY,0.845118,351.789,0.743726,0.0885478,0.50996,2016,0.0717131,5
ADORP,1,192.291,0.338791,0.188626,0.527273,2016,0.145455,4
ADUARD,1,211.345,0.338698,0.0892321,0.519053,2016,0.120494,4
AERDENHOUT,0.90672,385.52,0.729474,0.0514099,0.68031,2016,0.284292,3
AERDT,0.927059,243.216,0.598225,0.0328199,0.616751,2016,0.0583756,5
AFFERDEN GLD,0.89309,320.672,0.465934,0.047562,0.616058,2016,0.0715328,5
AFFERDEN LB,1,249.654,0.532581,0.0601445,0.563616,2016,0.801339,1
AGELO,1,334.035,0.46241,0.060592,0.730435,2016,0.295652,3
AKERSLOOT,0.911614,215.724,0.463347,0.0597681,0.61733,2016,0.0992974,5
AKKRUM,0.887214,215.539,0.417921,0.115011,0.629956,2016,0.0566394,5
AKMARIJP,0.826923,413.023,0.656366,0.157287,0.488372,2016,0.0930233,5
ALBERGEN,1,327.847,0.436932,0.0648351,0.684505,2016,0.13099,4
ALBLASSERDAM,0.976503,156.113,0.944228,0.032765,0.802982,2016,0.157253,4
ALDE LEIE,0.908333,283.211,0.470879,0.0483876,0.477064,2016,0.0733945,5
ALDEBOARN,0.860583,257.733,0.557582,0.127757,0.592047,2016,0.0648012,5
ALDTSJERK,0.919861,208.932,0.343541,0.101018,0.594697,2016,0.0378788,5
ALEM,0.837288,268.692,0.565188,0.063413,0.481781,2016,0.105263,4
ALKMAAR,0.923973,177.087,0.365827,0.037565,0.722879,2016,0.0847029,5
ALLINGAWIER,0.72973,478.37,0.858527,0.338583,0.444444,2016,0.0740741,5
ALMELO,1,676.918,0.312161,0.0193195,0.469388,2016,0.244898,3
ALMEN,0.834979,279.375,0.587081,0.138866,0.557432,2016,0.118243,4
ALMERE,0.932819,211.479,0.38626,0.051629,0.798672,2016,0.119302,4
ALMKERK,1,257.236,0.389985,0.0603095,0.64582,2016,0.195523,4
ALPHEN AAN DEN RIJN,0.932169,185.004,0.877741,0.0377212,0.732123,2016,0.0992137,5
ALPHEN AD RIJN,0.916667,211.455,1,0,0.5,2016,0,5
ALPHEN GLD,0.912195,330.6,0.572655,0.0728303,0.574866,2016,0.0882353,5
ALPHEN NB,1,339.212,0.415131,0.0424758,0.644358,2016,0.163164,4
ALTEVEER GEM DE WOLDEN,1,233.733,0.379644,0.0769611,0.653465,2016,0.105611,4
ALTEVEER GEM NOORDENVELD,1,290.205,0.374571,0.0570021,0.477273,2016,0.0454545,5
ALTEVEER GN,1,217.1,0.377999,0.0860913,0.586022,2016,0.114695,4
ALTFORST,0.856589,389.796,0.547401,0.0816565,0.547511,2016,0.081448,5
AMBT DELDEN,1,512.772,0.458251,0.108049,0.646593,2016,0.226624,3
AMEIDE,0.967695,213.297,0.942183,0.0394429,0.726859,2016,0.155539,4
AMEN,1,326.029,0.446698,0.146604,0.828571,2016,0.228571,3
AMERICA,1,351.23,0.545731,0.117034,0.606977,2016,0.837209,1
AMERONGEN,0.974277,234.096,0.850761,0.0454694,0.575908,2016,0.135314,4
AMERSFOORT,0.965679,166.602,0.904166,0.0364384,0.741377,2016,0.568225,2
AMMERSTOL,0.949214,195.968,0.900585,0.0384439,0.666242,2016,0.118471,4
AMMERZODEN,0.933828,329.083,0.598247,0.0621098,0.607947,2016,0.0980132,5
AMSTELHOEK,0.96728,239.526,0.905751,0.0338968,0.608879,2016,0.0718816,5
AMSTELVEEN,0.934684,172.559,0.395446,0.0348614,0.718642,2016,0.133014,4
AMSTENRADE,1,212.325,0.488616,0.0605839,0.563369,2016,0.17498,4
AMSTERDAM,0.89039,127.011,0.303146,0.0103039,0.71,2016,0.192321,4
AMSTERDAM ZUID00ST,0.1875,138.778,0,0,0.666667,2016,0,5
AMSTERDAM ZUIDOOST,0.675086,141.03,0.330811,0.023254,0.768449,2016,0.169445,4
AMSTERDAM-DUIVENDRECHT,0.85348,510.004,0.446128,0.0123036,0.536481,2016,0.270386,3
AMSTEVEEN,0.888889,106.75,0.7037,0,0.5,2016,0.625,2
ANDEL,1,264.594,0.392584,0.0437658,0.625914,2016,0.145246,4
ANDELST,0.883333,360.279,0.501663,0.0541457,0.579874,2016,0.124528,4
ANDEREN,1,346.429,0.403335,0.148627,0.632653,2016,0.142857,4
ANDIJK,0.892173,220.891,0.545265,0.082751,0.642495,2016,0.12444,4
ANE,1,363.906,0.389377,0.112747,0.540881,2016,0.150943,4
ANERVEEN,1,178.125,0.45,0.08,0.583333,2016,0.0625,5
ANEVELDE,1,1118.44,0.48,0.17,0.5,2016,0.277778,3
ANGEREN,0.933442,259.365,0.539072,0.0599839,0.645217,2016,0.0930435,5
ANGERLO,0.926164,324.629,0.583655,0.0554529,0.594454,2016,0.152513,4
ANJUM,0.929283,158.421,0.422802,0.0597938,0.69239,2016,0.091104,5
ANKEVEEN,0.886047,234.606,0.435406,0.0411507,0.570866,2016,0.116798,4
ANLOO,1,396.91,0.501175,0.0549621,0.572414,2016,0.186207,4
ANNA PAULOWNA,0.901208,224.869,0.636663,0.0898044,0.678906,2016,0.0691504,5
ANNEN,1,232.38,0.431268,0.0809255,0.604128,2016,0.345216,3
ANNERVEENSCHEKANAAL,1,174.5,0.417322,0.0733644,0.493671,2016,0.240506,3
ANSEN,1,354.625,0.427682,0.116334,0.520833,2016,0.180556,4
APELDOORN,0.916635,209.126,0.589621,0.0518412,0.732395,2016,0.229237,3
APPELSCHA,0.913709,205.717,0.51103,0.0867452,0.676615,2016,0.0801308,5
APPELTERN,0.881007,250.2,0.518804,0.0732627,0.587013,2016,0.145455,4
APPINGEDAM,1,168.795,0.305126,0.122302,0.590971,2016,0.206551,3
ARCEN,1,207.246,0.521506,0.0667072,0.611617,2016,0.276417,3
ARKEL,0.940274,226.642,0.905955,0.0485807,0.749417,2016,0.213287,3
ARNHEM,0.915155,189.797,0.525864,0.0291496,0.709989,2016,0.0954644,5
ARRIEN,1,383.719,0.459677,0.133331,0.66875,2016,0.11875,4
ARUM,0.910448,288.049,0.505945,0.0932909,0.641686,2016,0.0843091,5
ASCH,0.907514,270.624,0.666692,0.0755314,0.611465,2016,0.0764331,5
ASPEREN,0.971218,217.432,0.920217,0.0519305,0.737082,2016,0.193009,4
ASSEN,1,174.773,0.401874,0.05474,0.613853,2016,0.273928,3
ASSENDELFT,0.930494,190.036,0.377511,0.0755734,0.748864,2016,0.0967527,5
ASTEN,1,261.285,0.297923,0.0426599,0.657414,2016,0.135629,4
AUGSBUURT,0.763158,255.034,0.4474,0.1842,0.655172,2016,0.103448,4
AUGUSTINUSGA,0.87813,239.671,0.472158,0.0573537,0.547529,2016,0.114068,4
AUSTERLITZ,0.970105,251.448,0.855851,0.0940061,0.5547,2016,0.140216,4
AVENHORN,0.911747,193.051,0.504547,0.103816,0.646862,2016,0.0761015,5
AZEWIJN,0.904153,380.293,0.728343,0.080123,0.59364,2016,0.113074,4
Afferden,0.631579,327.417,0.1579,0.0526,0.333333,2016,0,5
BAAIDUINEN,0.870968,423.093,0.383222,0.0704286,0.574074,2016,0.037037,5
BAAIUM,0.903614,360.387,0.629635,0.172784,0.573333,2016,0.16,4
BAAK,0.880455,387.015,0.666809,0.117424,0.609914,2016,0.0905172,5
BAAMBRUGGE,0.942948,331.899,0.838477,0.119013,0.603361,2016,0.201681,3
BAARD,0.871212,196.339,0.613146,0.192577,0.547826,2016,0.130435,4
BAARLE-NASSAU,1,240.39,0.409254,0.0202849,0.633058,2016,0.195041,4
BAARLO LB,1,233.043,0.519413,0.0651762,0.589534,2016,0.898184,1
BAARLO OV,1,988.76,0.96,0.08,0.52,2016,0.12,4
BAARN,0.973366,204.574,0.793212,0.0420575,0.616832,2016,0.143289,4
BABBERICH,0.918065,301.156,0.612366,0.0485844,0.697849,2016,0.160215,4
BABYLONIENBROEK,1,455.259,0.446398,0.0146371,0.625899,2016,0.18705,4
BAD NIEUWESCHANS,1,177.76,0.286499,0.0457784,0.48996,2016,0.0522088,5
BADHOEVEDORP,0.952442,209.529,0.500712,0.0317901,0.655496,2016,0.12634,4
BAEXEM,1,270.53,0.50623,0.0925132,0.546555,2016,0.183426,4
BAFLO,1,172.06,0.355579,0.163796,0.531395,2016,0.15,4
BAKEL,1,297.678,0.379213,0.0563564,0.655485,2016,0.125113,4
BAKHUIZEN,0.901173,241.279,0.38891,0.0898518,0.622677,2016,0.0613383,5
BAKKEVEEN,0.933848,216.595,0.53928,0.105595,0.62928,2016,0.0755608,5
BALGOIJ,0.890034,421.9,0.565347,0.0854791,0.586873,2016,0.108108,4
BALGOY,0.952381,283.75,0.5238,0.0476,0.4,2016,0.2,4
BALINGE,1,299.062,0.46,0.25,0.75,2016,0.1875,4
BALK,0.9301,181.526,0.463296,0.0541321,0.66411,2016,0.126278,4
BALKBRUG,1,293.324,0.388772,0.0890579,0.673624,2016,0.115117,4
BALLOO,1,397.393,0.466008,0.234915,0.655738,2016,0.196721,4
BALLUM,0.851626,212.413,0.351885,0.109098,0.606205,2016,0.0644391,5
