city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENHAGE,1,79.5357,0.7143,0,0.928571,2019,0.535714,2
'S GRAVENMOER,1,213.908,0.354155,0.0827088,0.694932,2019,0.308967,3
'S-GRAVELAND,0.865854,234.296,0.469868,0.0472299,1,2019,0.334507,3
'S-GRAVENDEEL,1,160.37,0.990954,0.0789751,0.789936,2019,0.950629,1
'S-GRAVENHAGE,0.999947,141.682,0.747268,0.0317107,0.820625,2019,0.406139,2
'S-HEERENBERG,0.910262,217.602,0.766514,0.107723,1,2019,0.771045,1
'S-HEERENBROEK,1,274.19,0.439336,0.16286,0.53617,2019,0.370213,3
'S-HERTOGENBOSCH,1,179.731,0.443355,0.0497563,0.774301,2019,0.778928,1
'T GOY,1,304.171,0.903774,0.111415,0.710714,2019,0.746429,1
'T HAANTJE,1,179.283,0.483253,0.309492,0.636364,2019,0.670455,2
'T HARDE,0.893828,210.561,0.511295,0.0989429,1,2019,0.196064,4
'T LOO OLDEBROEK,0.863551,204.405,0.472035,0.177395,1,2019,0.179654,4
'T VELD,0.88313,238.941,0.87838,0.183835,1,2019,0.747986,1
'T WAAR,1,231.88,0.401723,0.424302,0.520548,2019,0.424658,2
'T ZAND NH,0.864264,282.469,0.742453,0.143354,1,2019,0.632653,2
'T ZANDT GN,1,229.314,0.474808,0.33627,0.543478,2019,0.75,1
1E EXLOERMOND,1,289.486,0.453562,0.180546,0.524476,2019,0.573427,2
2E EXLOERMOND,1,230.766,0.434053,0.219624,0.558575,2019,0.551078,2
2E VALTHERMOND,1,446.781,0.497927,0.225156,0.591837,2019,0.77551,1
AADORP,1,229.547,0.422991,0.0900563,0.603896,2019,0.386364,3
AALDEN,1,205.254,0.482245,0.181644,0.526642,2019,0.815366,1
AALSMEER,0.891095,229.397,0.493304,0.0817503,1,2019,0.19263,4
AALSMEERDERBRUG,0.877551,248.395,0.559782,0.0732616,1,2019,0.244186,3
AALST GLD,0.909751,287.483,0.850785,0.157563,1,2019,0.759407,1
AALSUM,0.894737,367.706,0.717866,0.290076,1,2019,0.220588,3
AALTEN,0.887609,262.052,0.671179,0.174628,1,2019,0.44344,2
AARLANDERVEEN,0.879518,307.111,0.858429,0.062711,1,2019,0.373288,3
AARLE-RIXTEL,1,242.904,0.35531,0.119559,0.661532,2019,0.291447,3
AARTSWOUD,0.896797,191.984,0.762561,0.151478,1,2019,0.56746,2
ABBEGA,0.87931,418.186,0.775412,0.20346,1,2019,0.147059,4
ABBEKERK,0.92695,194.583,0.855066,0.145352,1,2019,0.750799,1
ABBENBROEK,1,205.327,0.974628,0.186155,0.708674,2019,0.734861,1
ABBENES,0.915254,326.602,0.592619,0.160755,1,2019,0.196296,4
ABCOUDE,0.995358,268.138,0.866171,0.165015,0.694841,2019,0.262606,3
ACHLUM,0.925081,185.785,0.670495,0.14496,1,2019,0.323944,3
ACHTERVELD,0.99115,236.937,0.961633,0.119326,0.663961,2019,0.741883,1
ACHTHUIZEN,1,162.303,0.958703,0.129988,0.716239,2019,0.729915,1
ACHTMAAL,1,347.369,0.5117,0.118635,0.698264,2019,0.854473,1
ACQUOY,0.84953,336.59,0.780555,0.106335,0.96679,2019,0.261993,3
ADORP,1,297.099,0.422882,0.343347,0.530822,2019,0.75,1
ADUARD,1,236.123,0.373017,0.152273,0.525948,2019,0.268463,3
AERDENHOUT,0.895215,385.187,0.754273,0.0788738,1,2019,0.416889,2
AERDT,0.914352,223.005,0.857591,0.0950466,1,2019,0.792405,1
AFFERDEN GLD,0.888747,307.742,0.769269,0.102852,1,2019,0.745324,1
AFFERDEN L,1,253.403,0.523346,0.15208,0.571942,2019,0.879496,1
AFFERDEN LB,1,275.122,0.548681,0.128056,0.590395,2019,0.824859,1
