city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENHAGE,0.978723,273.435,0.75163,0.0246457,0.782609,2017,0.478261,2
'S GRAVENMOER,1,221.037,0.339078,0.0562475,0.6931,2017,0.236869,3
'S-GRAVELAND,0.866091,268.113,0.450541,0.0232216,0.537406,2017,0.234414,3
'S-GRAVENDEEL,0.949017,171.254,0.977769,0.0508125,0.790412,2017,0.913997,1
'S-GRAVENHAGE,0.959605,151.707,0.680329,0.019985,0.818836,2017,0.160139,4
'S-GRAVENZANDE,0.818182,470.556,0.6364,0.0455,0.555556,2017,0.111111,4
'S-HEERENBERG,0.913892,234.865,0.496266,0.0670502,0.657286,2017,0.181658,4
'S-HEERENBROEK,1,235.037,0.418752,0.0880917,0.539535,2017,0.24186,3
'S-HERTOGENBOSCH,1,175.405,0.364589,0.029188,0.781214,2017,0.536269,2
'SâGRAVENHAGE,0.952381,114.3,0.381,0,0.7,2017,0,5
'T GOY,0.946309,361.55,0.900801,0.0790752,0.687943,2017,0.680851,2
'T HAANTJE,1,171.352,0.416135,0.188606,0.590909,2017,0.227273,3
'T HARDE,0.901688,218.083,0.467033,0.052388,0.712188,2017,0.118943,4
'T LOO OLDEBROEK,0.87194,219.065,0.438777,0.126268,0.565875,2017,0.12959,4
'T VELD,0.894737,264.76,0.878929,0.117647,0.582353,2017,0.730588,1
'T WAAR,1,200.151,0.403334,0.414246,0.528302,2017,0.264151,3
'T ZAND NH,0.875486,299.386,0.586538,0.113742,0.619556,2017,0.225778,3
'T ZANDT GN,1,180.938,0.372068,0.268506,0.459941,2017,0.290801,3
1E EXLOERMOND,1,308.5,0.442564,0.120978,0.534722,2017,0.222222,3
2E EXLOERMOND,1,240.581,0.38187,0.140259,0.545541,2017,0.204934,3
2E VALTHERMOND,1,475.458,0.460237,0.18748,0.5625,2017,0.291667,3
AADORP,1,202.217,0.434018,0.0663375,0.606957,2017,0.32,3
AALDEN,1,177.16,0.374537,0.103056,0.523933,2017,0.205692,3
AALSMEER,0.898644,241.496,0.469317,0.0574584,0.685167,2017,0.128872,4
AALSMEERDERBRUG,0.880546,259.535,0.543689,0.0559901,0.697674,2017,0.186047,4
AALST GLD,0.91385,309.518,0.578578,0.0626108,0.633652,2017,0.150358,4
AALSUM,0.888889,356.125,0.735232,0.240264,0.5,2017,0.166667,4
AALTEN,0.896723,276.699,0.514498,0.123077,0.632718,2017,0.14657,4
AALZUM,0.909091,441.2,0.6364,0.1364,0.55,2017,0.1,5
AARLANDERVEEN,0.881789,299.627,0.856738,0.050889,0.639493,2017,0.253623,3
AARLE-RIXTEL,1,233.38,0.313777,0.0705386,0.66171,2017,0.189591,4
AARTSWOUD,0.892473,193.719,0.552184,0.123782,0.646586,2017,0.164659,4
ABBEGA,0.878261,406.663,0.72705,0.17367,0.623762,2017,0.0990099,5
ABBEKERK,0.927794,203.345,0.594231,0.102022,0.584222,2017,0.172708,4
ABBENBROEK,0.976,204.139,0.950257,0.108183,0.701639,2017,0.267213,3
ABBENES,0.924915,320.339,0.58535,0.11568,0.640221,2017,0.138376,4
ABCOUDE,0.944271,304.938,0.833959,0.0634983,0.677206,2017,0.149654,4
ACHLUM,0.930464,179.989,0.650036,0.0895332,0.483986,2017,0.256228,3
ACHTERVELD,0.954802,269.066,0.875782,0.0782055,0.626374,2017,0.200338,3
ACHTHUIZEN,0.963394,175.159,0.891314,0.0728725,0.708117,2017,0.219344,3
ACHTMAAL,1,328.54,0.394716,0.0792992,0.692828,2017,0.221922,3
ACQUOY,0.843066,375.558,0.783358,0.0902958,0.515152,2017,0.155844,4
ADORP,1,186.073,0.343615,0.224895,0.525547,2017,0.175182,4
ADUARD,1,206.977,0.348764,0.106879,0.51749,2017,0.187243,4
AERDENHOUT,0.903435,388.779,0.7445,0.05706,0.683747,2017,0.328375,3
AERDT,0.923077,234.982,0.612724,0.0395047,0.608586,2017,0.108586,4
AFFERDEN GLD,0.889754,327.959,0.49839,0.0511621,0.599125,2017,0.100583,4
AFFERDEN LB,1,250.221,0.539651,0.0749731,0.556291,2017,0.834437,1
AGELO,1,337.164,0.468264,0.0684864,0.724138,2017,0.37931,3
AKERSLOOT,0.909546,207.861,0.475075,0.0682049,0.613199,2017,0.13703,4
AKKRUM,0.88587,212.905,0.436631,0.124941,0.599387,2017,0.111043,4
AKMARIJP,0.826923,409.953,0.657331,0.157854,0.488372,2017,0.0930233,5
ALBERGEN,1,320.76,0.435095,0.0778655,0.682927,2017,0.206137,3
ALBLASSERDAM,0.976606,153.411,0.948221,0.0360302,0.803531,2017,0.204341,3
ALDE LEIE,0.9,301.426,0.486146,0.0436183,0.481481,2017,0.111111,4
ALDEBOARN,0.854614,281.303,0.557259,0.1096,0.573964,2017,0.118343,4
ALDTSJERK,0.910035,201.593,0.365631,0.107261,0.589354,2017,0.0646388,5
ALEM,0.860465,251.031,0.582706,0.0807728,0.490347,2017,0.173745,4
ALKMAAR,0.922392,172.908,0.40842,0.0418172,0.702574,2017,0.140354,4
ALLINGAWIER,0.72973,466.37,0.852917,0.42256,0.481481,2017,0.148148,4
ALMELO,1,716.874,0.272799,0.0202926,0.463158,2017,0.347368,3
