city,active_conn_perc,consume_per_conn,lowtarif_perc,product_perc,p_type_conn_perc,years,smartmeter_perc,true_label
'S GRAVENMOER,1,215.036,0.344923,0.0670561,0.696881,2018,0.273879,3
'S-GRAVELAND,0.86373,252.353,0.44359,0.0306314,0.549229,2018,0.297746,3
'S-GRAVENDEEL,0.937189,165.955,0.979663,0.0584719,0.788814,2018,0.915381,1
'S-GRAVENHAGE,0.951879,150.551,0.691758,0.0230405,0.815961,2018,0.249633,3
'S-GRAVENZANDE,0.818182,467.333,0.6364,0.0455,0.555556,2018,0.111111,4
'S-HEERENBERG,0.911637,225.529,0.556486,0.0786329,0.61304,2018,0.309768,3
'S-HEERENBROEK,1,263.258,0.404608,0.125407,0.549784,2018,0.277056,3
'S-HERTOGENBOSCH,1,183.517,0.450354,0.0371875,0.7771,2018,0.76355,1
'SâGRAVENHAGE,0.952381,99.55,0.4286,0,0.7,2018,0.1,5
'T GOY,0.939597,362.214,0.904355,0.0928012,0.685714,2018,0.7,2
'T HAANTJE,1,170.234,0.422813,0.242198,0.606742,2018,0.224719,3
'T HARDE,0.910311,214.671,0.4843,0.0604222,0.699389,2018,0.161453,4
'T LOO OLDEBROEK,0.870056,213.418,0.463668,0.145861,0.5671,2018,0.155844,4
'T VELD,0.883385,255.41,0.867295,0.140704,0.591121,2018,0.731308,1
'T WAAR,1,251.52,0.417224,0.368623,0.493151,2018,0.369863,3
'T ZAND NH,0.871042,291.981,0.737748,0.127302,0.592199,2018,0.621454,2
'T ZANDT GN,1,249.02,0.420225,0.271669,0.516216,2018,0.37027,3
1E EXLOERMOND,1,291.036,0.460557,0.135051,0.531469,2018,0.538462,2
2E EXLOERMOND,1,236.375,0.431734,0.177239,0.558052,2018,0.516854,2
2E VALTHERMOND,1,466.544,0.458547,0.20411,0.571429,2018,0.326531,3
AADORP,1,239.444,0.421386,0.0749421,0.60813,2018,0.362602,3
AALDEN,1,208.922,0.380948,0.122224,0.534161,2018,0.265839,3
AALSMEER,0.888171,237.025,0.48165,0.0628337,0.687488,2018,0.161125,4
AALSMEERDERBRUG,0.880546,249.012,0.556356,0.0630814,0.70155,2018,0.22093,3
AALST GLD,0.911063,314.656,0.568623,0.0682577,0.625,2018,0.179762,4
AALSUM,0.894737,371.75,0.713313,0.231983,0.514706,2018,0.176471,4
AALTEN,0.89389,272.12,0.641174,0.141109,0.618115,2018,0.375444,3
AARLANDERVEEN,0.885093,285.381,0.856584,0.0564474,0.642105,2018,0.301754,3
AARLE-RIXTEL,1,245.923,0.335134,0.0857113,0.662168,2018,0.228221,3
AARTSWOUD,0.892857,197.3,0.756969,0.132821,0.592,2018,0.528,2
ABBEGA,0.878261,405.059,0.757616,0.173759,0.633663,2018,0.118812,4
ABBEKERK,0.92695,198.676,0.851621,0.11494,0.534611,2018,0.730564,1
ABBENBROEK,0.974482,197.946,0.949589,0.141844,0.700491,2018,0.302782,3
ABBENES,0.918506,319.409,0.598895,0.1417,0.63586,2018,0.170055,4
ABCOUDE,0.942377,308.236,0.857432,0.0899997,0.679637,2018,0.209479,3
ACHLUM,0.918033,185.557,0.657397,0.0878133,0.485714,2018,0.271429,3
ACHTERVELD,0.916031,276.982,0.930705,0.0805048,0.628333,2018,0.6475,2
ACHTHUIZEN,0.960067,172.04,0.931297,0.0906067,0.707106,2018,0.563258,2
ACHTMAAL,1,352.687,0.474688,0.0939325,0.697456,2018,0.685408,2
ACQUOY,0.85,347.368,0.775212,0.0914902,0.533088,2018,0.213235,3
ADORP,1,290.888,0.470616,0.277953,0.537671,2018,0.75,1
